text,sentiment
tidak uang bukti dulu kalau mengetik hy gaes bagus morning have a bagus day pas ketik status app bbm,neutral
bajingany mana om apa obral ikan apa apa bohong esemka apa bohong impor apa bohong tidak naikkan bbm apa bohong dolar ribu apa bohong,neutral
kamu bicara lahir pas jaman orde baru jadi tidak mengerti kalau sekarang lebih parah dulu kalau jaman dulu orang sejahtera tidak dikit bbm naik dikit listrik naik dikit janji palsu,neutral
gaji besar bukannya ditunjang kinerja baik pertamina rugi walaupun harga bbm tinggi,neutral
orang biasa bahkan seenaknya jidat nya naik kan bbm,neutral
aduh lihat saudara laki-laki subsidi bbm minyak goreng bpjs bantuan siswa kurang mampu siapa jamin,neutral
ehh tahu kan bbm harga meskipun merata dulu papua harga bbm ratusan ribu perliter,neutral
badan pengatur hilir minyak gas bumi bph minyak gas bumi bersama instansi terkait membentuk tim satuan tugas satgas pengawasan monitoring bbm subsidi,neutral
menghina pak jokowi orang kenal pak jokowi pak jokowi merakyat era beliau bbm tidak pernah naik tidak korupsi tidak merangkap jabatan pencipta mobil esemka hebat,neutral
mau tahu urusan orang banget terus kalau jelas hubungannya apa sama kenaikan bbm kelangkaan gas naiknya harga ayam apa kalian terus bodoh membela bajingan tolol padahal sendiri tidak memikirkan bahkan sibuk naikkan anak mantu menyelamatkan diri mikir wahai fans bajingan tolol,negative
rakyat diperas bbm naik seenaknya owh buat gaji ahok hebat iya negeri konoha,neutral
kasihan semangat saudara laki-laki orang taiknya mau kamu makan bulanannya milyaran kali tergerak kasihan sama kamu kamu maksud numpang hidup hasil kerjanya taiklah bbm naik gas langka,neutral
kendaraan mah ikut trendi tidak perlu subsidi laku sendiri wong mobil rubicon motor gede sekarang motor bomber tidak disubsidi singkong goreng laris manis perlu disubsidi listrik bbm menggenjot sektor umkm level pengusaha kelas teri,neutral
scooter ijo bengi aman loh lah pas isuk kok bau bbm iya,neutral
berani jamin siapapun presidennya isi bbm cari kerja tidak berubah negara padad penduduk,neutral
polrestabes bandung polda jabar polsek bojongloa kidul personil samapta polsek bojongloa kidul monitoring obyek vital spbu jalan raya kopo nomor rt wilkum bojongloa kidul kelurahan kebonlega kota bandung stok bbm tersedia spbu,neutral
bc bbm membawa takdir,neutral
era sebelumnya elpiji tidak langka bbm tidak mahal bensin solarpun tidak mengantri bbm naik bukan,neutral
inimah gaji gilole gaji tidak punya nalar pantas bbm harganya naik terus rakyat kecil mau beli gas melon pakai ktp benar tidak sih gaji pejabat tidak berguna sebesar pertamina tidak komut yakin jalan,neutral
eh bbm stan yung nagiinterview,neutral
bbm dinaikkan bosmu tka banjir padahal banyak relawan tidak punya pekerjaan mampu kerja kader partai korupsi harusnya gelar aksi,neutral
pakai bbm mas bukan wa,neutral
jujur hp dulu pas bbm sama path nya diapusin kakakku hei,neutral
laa lupa demo bbm dulu sby bagaimana penghinaanya karmamu wahai pdip banyak bercermin atas semua kejadian sekarang hasil masa lalumu jejak digital banyaklk,negative
bbm kakak kasih,neutral
makanya w heran giliran harga naik bbm naik kesenjangan sosial mana kekerasan mana ketidak adilan diam diam tidak bersuara ehh giliran notabennya delik aduan paling semangat bersuara padahal hina punya kekuatan,negative
