text,sentiment
aku ingatkan gagal tadbir negara elok je salahkan bn nak bertanding kepentingan parti sendiri pon salahkan bn,neutral
kakak perempuan kamu minum terlalu panas kamu paham sekali hukum termodinamika,negative
hari minggu dewan penasehat rapat perdana mbs,neutral
kebutuhan istri tidak cuma sandang pangan papan kalau kamu cinta sama istrimu iya kamu memenuhi kebutuhan sekund,negative
kalau misi kamu letaklah jawatan menteri mp this is exactly the masalah you reply supposed to serve all mala,negative
yatapi kalau tidak bapak negara aku tidak kebayang sih bagaimana aku lewatin usia atas baik baik,neutral
tahu aku asus mau bertanya suara speaker kamu kecil tidak,neutral
kalau toge seribu perak dapetnya segambreng emak cebong ngutil kali sist belanjanya,negative
wiroableng film diproduseri tidak cuma tayang indonesia beberapa negara,neutral
weh sumpah aku tidak move on dengar suara housemate aku,neutral
kalau pendukung partay oposisi tafsir kampanye iklan klu aku menc,neutral
anyone tahu aku sat apa salah mungkin nak pegawai menteri datang rumah kot jemput surat ohh iium onlin,neutral
nctzh jaemin as anak broken home nana tidak dihubungin kalian vc semalem kamu denger suara banting banting,negative
nah kalau begini baru ibu camat jeles tingkat negara a p aku cinta jendral mungkin wefie batako,neutral
deh kena pergi world economy forum mana menteri ekonomi at least menteri kewangan lah kan deh m,neutral
yatapi kalau tidak bapak negara aku tidak kebayang sih bagaimana aku lewatin usia atas baik baik tsai,neutral
benda simple je ph jadi kerajaan selepas mei menteri kewangan paling bangang sejarah malaysia bandingkan,neutral
aku tidak kesah siapa jadi presiden uiam walaupun deh habis blaja kat situ aku tidak terima orang luar semak,neutral
tadi kan aku kerja kelompok ceritanyaama anak multi fakultas anak hukum sangat uwu duduknya depan aku,neutral
tadi kan pamitnya meeting nga bakal sempat pegang hape kok aku iseng telpon wasap kamu bahkan notif sedang pan,negative
lepas meeting boss suruh balik awal hari dengau suara aku deh sengau sengau hidung tersumbat selesema,neutral
aku rasa dukungan politik riil tidak perlu partai politik mbak brand gus dur punya basis massa cukup kuat suda,negative
mbak vanda bikin materi pokok mata kuliah hukum usaha tata negara iya iya pak kalau tidak b,negative
ribka tjiptaning buku aku bangga jadi anak pki rieke yaqult buku tetap pancasila se partai kamu,positive
ndhil cindhil lebih baik batalno acaramu iki ono presiden neng garudaing sopan aku yakin kamu rata dudu cah jog,negative
aku memang tidak bergaya pengangguran entah beli sabun sebagian orang berkata m,neutral
organisasi mungkin pki tidak terlihat cara ala pki kok sangat terasa adanya sepanjang rezim,negative
endampai aku uang buat subsidi ongkirnya ayo janganampai flop yaa bagus luck,positive
pak gubernur pakai helm masa kamu tidak via,negative
jendral tidak punya korupsi tidak punya uang aduhduhduhduh sebentar pak kesandung aku,neutral
informasi penting kesehatan gigi mulut kamuikat gigi elektrik vsikat gigi manual mana lebih efeki,negative
sambat aku fan kesehatan mental aku tidur siang dulu yaw,neutral
kalau pki nyata mengaku pki bangga rezim diem lah nuduh orang khilafah tidak jelas,negative
bantuan pemerintah sangat diharapkan saudara berada palu sekitarnya gerakcepatuntukpalu,neutral
pak bapak tunda pertemuan imf wb insyallah elektabilitas bapak meningkat palu donggala saran,neutral
sewaktu tsunami acheh membuat kenyataan tentera negara oic digerakkan membantu menunaikan fardhu,neutral
delapan truk bbm mendapatkan pengawalan ketat menujuulawesi tengah dibagi beberapa titik mohon masyarak,neutral
kamu kok jadi timnya pak gubernur timses pas kampanye punya link dong pns pemerintah provinsi memberikan masukan kolom kom,negative
hukum pidana orang menyuruh melakukan tindak pidana disebut aktor intelektual sama dihukum penjara,neutral
kenyataannya pak prabowo bepergian luar negeri pak wiranto tidak bsdh tanya internal sebabnya ted teddy bear,neutral
bts kan gencar kampanye soal endviolence jadi ikutin dngerin jadi lah fandom lebih bijak pas kal,neutral
bung dahni pemerintah tidak buta tuli prosedur dilalui kamu a,negative
salam ustaz aya yakin ustaz tahu hukum merancang keluarga mahu menjaga kesihatan ibu ela,positive
pasokan bbm provinsiulawesi tengah jalanemoga cepat selamat tujuan saudara diul,positive
aduan tidak sia sia kementerian kesihatan arahkan cafe jebat tutup mulai harini harap perubahan,neutral
inshaallah buat iktibar lelaki letak iron tu kat mata belajar menjaga pan,positive
relawan pandu keadilan bekerja melakukan evakuasi terhdp jenazah saudara diultengemoga amal,positive
batik identitas mendunia jokowi hari batik nasional hari batik nasional,neutral
jendral kivlan zein membawa dokumen pemberontakan pki tahun dpr bravo jendralelamanyaantipk,neutral
ketua lgbt nyatakan dukung jokowi titik darah penghabisan eeh ketangkap,positive
koordinasi kepemimpinan absent memberikan saran kritis terhdp penanganan dihujat dituduh macam,neutral
pilpres kali menentukan pilihan bukan simpatisan kubu manapun tagar ganti presiden in,neutral
penampakan dinding pasca gempa jogja mei dipublikasikan ilm bansos foto,neutral
mengetaui alasan balik penolakan pemerintah menetapkan status bencana nasional ditinjau perspektif uu,neutral
mengabaikan uu tinjauan sosial politik alasan paling mendekati kebenaran tidak alokasi anggar,neutral
memberikan dakwaan penyelewengan wang kerajaan bekas perdana menteri datukeri najib tun razak contoh kes prior,neutral
jendral kivlan zein membawa dokumen pemberontakan pki tahun dpr bravo jendralelamanyaa,neutral
berbeda rasuku agama gunakan pilihanmu bijak jangan mudah terhasut berita isu bohong issuara politik uang,positive
didesak tetapkan gempa tsunami paluebagai bencana nasional kata jokowi,neutral
tindak lanjut pembenahan sesuai arahan bapak presiden siang mengundang stakeholder dud,positive
asian productivity organization merupakan organisasi produktivitas regional asia pasifik non profit non politik non,neutral
membangun infrastruktur fisik jalan tol bandara m l sesungguhnya sedang membangun peradaban,neutral
assalamualaikum bang apa syaratnya ane buat bantu teman ane caleg pks kabupaten bogor davil a mustakim pdi,negative
selesai infus rumah sakit langsung konferensi pers depan orang media asing nasional rasanya sedang memberikan,neutral
jadi masalah pemerintah setempat pusat lambat membiarkan masyarakat menjarah lalu mentraktirnya kelir,neutral
peserta berasal berbagai penjuru nusantara sejumlah negara thailand australia jepang am,neutral
bukan persaingan politik soal rakyat prestasi bapak prestasi pemerintahan jokowi jk umum,neutral
kejahatan kemanusiaan kelambanan kelalaian pemerintah menangani bencana menyebabkan korban jiwa le,neutral
simpul korupsi bencana alam pengumpulan dana panitia penyampaian dana panitia panitia setempat t,neutral
bapak wapres pak yth pernah merasakan efektivitas bapak menangani gempa aceh jogya berkenan diizinkan,neutral
alokasi dana penangangan bencana prioritas teinggi suatu negara seluruh dunia indonesia me,neutral
part rekaman suara korban gempa via telepon kakaknyaudah berhari hari makan kelaparan sebagian ma,neutral
triliun ngasilin berapa triliun iya om coba kalau acara pakai uang negara cash flow,negative
twips ayo sejenak melihat karya nyata kabinet kerja program fenomenal presiden trans kalimantan trans papua,positive
prabowo titiek bapak memeluk wira anaknya mamiek mamiekaya didit anaknya bowo titiek kunju,positive
sekarang saatnya panen kok impor unt apa kakak bulog mengurusi stok pangan berkata tidak perlu impor cadangan bera,negative
ksepakatan fee proyek t eni mengatakan kesepakatan tercapai mekeng airlangga mantan men,neutral
bismillahirohmanirohim mohon doa dukungan semua perjuangan kader demokrat tim komunikasi media,neutral
politisi pdip desak panglima tni pergi instruksi nonton bareng film pki apa,neutral
hari bicara ekspor kebudayaan cc,neutral
asal usul tagariappakedy aiman merasa terganggu rangkap jabatan gubernurumut amp ketua umum,neutral
rdp komite i dpd ri dirjen otonomi daerah kementerian koord bidang politik hukum keamanan ri dep,neutral
sukseskanpemilu keduanya sama sama partai besar mana lebih berpihak rakyat menyuarakan,negative
pemimpin negara berkumpul bali acara pertemuan imf wb total peserta kehadi,negative
beliau lebih memilih tetap bekerja ketimbang kampanye meski masa kampanye dimulai itulahosok mendahulukan ras,positive
suka tidak suka rokok lama menjadi sumber pengeluaran kesehatan asean indonesia masuk besar juml,negative
ayo polling teman-teman partai sama partai besar kan iya warganet partai manakah,neutral
aku pecahkan kata suara perkataan hingga tidak penghalang aku berbicara padamu,neutral
tuips kampanye deh dimulai iya ayo viralkan janji kampanye pak adik anggarannya tinggal mau dikibuli,neutral
apa hubungannya rezim memangnya jokowi mengurus pintu mesjid pengurus mesjid istiqlal buatbk,negative
kamu pakai aloe vera gel sing apa nature republik berantakan habis dipake mau ditutup botol isi,negative
empat tahun tidak berhenti kampanye membandingkan menyalahkan masa lalu jelang pilpres tidak bantah cap,neutral
kpu mohon penjelasan mesti ditambahkan didepan capres vs o apa alasan metafisik ajaib tidak,neutral
iya benar orang bermoral membayar hutang ingat pemerintah amp pemimpin bermoral amp bermaruah tidak meng,negative
semenjak kapan pks hti mengusung islam rahmatan lil alamin,positive
siap bunda ayo mujahid mujahidah mulai skrngebut nama prabowo danandi uno jelas jangan singkat ps padi pas lain-lain,positive
beliaw sadar betul apa dampaknya petani kalau impor beras kok impor hai curahan hati relawan,negative
presiden diantar sopiri raja republik kerajaan,neutral
petani negeri ternyata terjadi ditekan tidak berdaya akhirnya impor tahun depan pilihlah pre,negative
belasan dokterpesialis perawat temui bahas defisit bpjs,neutral
hadapanandiaga anggota kadin jokowi bicara soal sulitnya mengelola negara sebesar indonesia,neutral
mantan pacar beda negara waduhek,neutral
sobatbkn cukup search sesuai latar belakang pendidikan jabatan diinginkan instansi tertentu mata mimin sakit,neutral
hang tahu dak range gaji menteri penuh berapa hang tahu dak penasihat bab nak pakai apa seorang m,negative
