sentimen,text
NETRAL,@tanyarlfes Gaada bukti tapi dulu gw kalo ngetik  Hy GaEs GoOd MoRnInG hAvE a NiCe DaY ??  Pas ketik status di app BBM ??
NETRAL,@pcogovph Kayang kaya talaga paikutin ni Digong itong bbm. Kawawa naman
NEGATIF,"@kpktemananies @musniumar Bajingany di mna om  ,, apa di obral ikn  ,, apa dia , apa dia boong esemka,, apa dia boongg impor apa dia boong g naikin BBM,, apa di boong dolar 10 ,,rb,,apa di boong²,,,,"
NEGATIF,"@m8deman @lovelyb1e Km yg ngomong ini pasti krn belum lahir pas jaman orde baru jadi ga ngerti klo skrg itu lebih parah dari dulu, klo jaman dulu org sejahtera, ga ada dikit2 BBM naik, dikit2 listrik naik,dikit2 janji palsu"
NEGATIF,"@OposisiCerdas @venasantika Gaji besar bukannya ditunjang dengan kinerja yg baik, yg ada Pertamina rugi walaupun harga BBM tinggi ..."
NEGATIF,@Dennysiregar7 Orang biasa malah seenak jidat nya naik kan bbm
NEGATIF,"@bachrum_achmadi Hadeh... Liat bro   Subsidi BBM sampai minyak goreng, BPJS sampai bantuan siswa kurang mampu. Siapa yg jamin??"
NETRAL,@prideandpoets si bbm ka ba
NETRAL,@nrlxmrr @SlamyHwa @tvOneNews @msaid_didu ehhh udah tau kan bbm 1 harga (meskipun belum merata). dulu di papua harga bbm bisa sampe ratusan ribu perliter.
NETRAL,Badan Pengatur Hilir Minyak dan Gas Bumi (BPH Migas) bersama instansi terkait membentuk Tim Satuan Tugas (Satgas) Pengawasan dan Monitoring BBM Subsidi. https://t.co/S0Vv8co5i3
NETRAL,Limang taon pa.. #bbm
POSITIF,@KakekHalal Mereka yg menghina pak Jokowi adalah orang 2 yang belum kenal pak Jokowi Pak Jokowi merakyat Di era beliau BBM GG pernah naik GG ada korupsi GG ada merangkap jabatan Pencipta mobil Esemka.... Hebat
NEGATIF,"@SETYAKI22965702 @DWILAKS78722248 @triwul82 Kepo bgt... Trus kl gw, jls hubungannya apa sama kenaikan BBM, kelangkaan gas dan naiknya harga ayam? Apa kalian akan trs goblok dg membela bajingan tolol? Padahal dia sendiri ga mikirin kita, malah sibuk naikin anak mantu dan menyelamatkan diri. Mikir wahai FANS BAJINGAN TOLOL!"
NEGATIF,@geloraco Rakyat diperas bbm naik seenaknya owh gitu buat gaji ahok hebat ya negeri konoha.
NEGATIF,"@Dennysiregar7 Kasian. Semangat bro. Orang yg taiknya mau elo makan aj bulanannya Milyaran, kali dia tergerak kasian ama elo. Dia yg elo maksud numpang idup??? Hasil kerjanya ?taiklah....bbm naik gas langka"
NETRAL,@PhilippineStar Ukininam ka bbm. Pisting yawa ka sara without h.
NETRAL,@fml_jona offizieller bbm member dann jona
NETRAL,"@f_fathur Kendaraan mah, ikut trendi aja ngk perlu subsidi nanti jg laku sendiri... Wong mobil Rubicon, moge n skrg motor bomber aja tdk disubsidi sdh spt singkong goreng laris manis... Yg perlu disubsidi tuh listrik n bbm, utk menggenjot sektor UMKM di level pengusaha kelas teri..."
NETRAL,BAKIT BA ANG DAMING NAG FOFOLLOW SAKIN NA BOT!!!! kasalanan mo to bbm
NETRAL,kamoo kung bbm mo hahahha
NETRAL,as in ako si bbm
NETRAL,isa akong bbm
NETRAL,@icustiyo scooter ijo — bengi aman loh  lah pas isuk kok bau bbm ya
NETRAL,"@Migran_TV_7777 Saya berani jamin siapapun presidennya, isi bbm, cari kerja itu gak akan berubah karena negara kita padad penduduk."
NETRAL,"*Polrestabes Bandung, Polda Jabar - Polsek Bojongloa kidul*.  Personil samapta  Polsek Bojongloa kidul   monitoring obyek vital ke SPBU 3440214 Jln raya kopo no. 437 Rt. 08/07 Wilkum Bojongloa Kidul Kel Kebonlega Kota Bandung,  Untuk stok BBM yang tersedia di Spbu 3440214  masih https://t.co/wTlZTv6GWk"
NETRAL,@SThermophilus bc bbm membawa takdir
NEGATIF,"@staysaferek @FPKSDPRRI Tapi di era sebelumnya elpiji tidak langka, bbm tidak mahal, bensin ada, solarpun juga ga ngantri, bbm naik 200 atau 300 bukan 3500"
NEGATIF,"@geloraco Inimah gaji gilole yg gaji gak punya nalar,pantesan bbm harganya naik trs rakyat kecil mau beli gas melon hrs pake KTP,bener nggak sih gaji pejabat tdk berguna sebesar itu,pertamina gak ada komut yakin bisa jalan"
NETRAL,@JioCinema @BeingSalmanKhan #AbhishekIsTheBoss ncc bbm hu
NETRAL,Ano na bbm! Ikaw ulo jan! Di mo alam nangyayari sa bakuran mo!  https://t.co/O1Ndg3vfrJ
NETRAL,kasalanan ni bbm bat umuulan hahahahaha kimmy
NETRAL,@cwoodz Invite aja pin bbm ku
NETRAL,eh bbm stan yung nagiinterview
NETRAL,PILIPINAS #1 TANGINAMO BBM  key why es!!!
NETRAL,"Quingina , kailangan pa bang laliman ang pang unawa?im just presenting what is true.  It is what it is.  Ang talagang totoong lutang ay si bbm!   Wag kang magmagaling dahil isa ka rin naman may utak na ga-munggo.  ?????"
NETRAL,Si bbm kasi ?????? huyy charr lng
NEGATIF,@MartinusButarb1 Bbm dinaikkan bosmu  Tka banjir padahal banyak relawan yg nganggur dan mampu kerja Kader partai korupsi  Harusnya saat itu juga gelar aksi ??????
NETRAL,Ping ping kaya BBM
NETRAL,@satyaekaputra_ Dia pake bbm mas bukan wa ????
NETRAL,"@sosmedkeras jujur di hp ini dulu pas 2021 masih ada BBM sama Path-nya, tapi diapusin kakakku woiii"
NETRAL,haha tangina mo kasi bbm eh
NEGATIF,@QianzyZ laaaaaaa.....lupa saat demo bbm dulu pada sby gimana penghinaaanya ????...itulah karmamu wahai pdip. banyak2 bercermin atas semua kejadian sekarang itu hasil dri masa lalumu jejak digital.banyaklk ??
NETRAL,@bemyclvr bbm ka kasi
NETRAL,jaman-jaman org main bbm terus status nya listening to blank space by taylor swift ??
NEGATIF,"@RICOPLAX1 @detikcom Makanya w heran,giliran harga naik,BBM naik,kesenjangan sosial dimana mana,kekerasan dimana mana,ketidak Adilan masih ada,mereka hanya diam diam saja GK bersuara,ehhhhh giliran hal ini yang notabennya delik aduan pada paling semangat bersuara,padahal yang di hina punya kekuatan??"
NETRAL,@Naaannnn11 Bagi pin BBM nya dong gamtenk
NEGATIF,"@Dennysiregar7 Lah elu den giliran BBM NAIK,HARGA SEMBAKO NAIK,DIEM DIEM AJA DEN,EH GILIRAN YANG KAYAGINI RAMEnya bukan main???????? Kaya PENJILAT kalau yang dijilat di usik baru berisik."
NEGATIF,"@detikcom Giliran harga naik,BBM naik pada diem aja Eh giliran di hina padahal delik aduan langsung rame,ketahuan itu relawan Jokowi ada bukan buat kepentingan RAKYAT,tapi buat kepentingan seseorang dan kelompok tertentu,"
NEGATIF,"@MARQUEZ__93 kalo gitu BBM naik, gas LPJ naik. dll  dibuat gaduh aja di sosmed."
NEGATIF,@tempodotco Hmmm Kirain demo karena pemerintah masih impor pangan atau karena BBM yg harganya kemahalan.
NETRAL,kasalanan mo to' bbm??
NETRAL,kasalan talaga to ni bbm
NETRAL,kasalanan mo to bbm??????
NETRAL,"@tanyarlfes gue dulu alaynya di BBM, dha ilang semua??"
NEGATIF,"@Gus_Mail @adriansyahyasin gak nyalahin masyarkaat, nyalahin pemerintah yang punya political will  Pemilik mobil ama motor aja boleh demo2 kenaikan harga BBM, pejalan kaki dan pengguna transportasi umum juga boleh dong demo nuntut transportasi umum"
